key,cn,en,zh-tw
country.BRA,"巴西","Brazil","巴西"
country.BRN,"汶莱","Brunei Darussalam","汶莱"
country.BGR,"保加利亚","Bulgaria","保加利亚"
country.BFA,"布基纳法索","The Burkina Faso","布基纳法索"
country.BDI,"布隆迪","Burundi","布隆迪"
country.CPV,"佛得角","Cabo Verde","佛得角"
country.KHM,"柬埔寨","Cambodia","柬埔寨"
country.CMR,"喀麦隆","Cameroo","喀麦隆"
country.CAN,"加拿大","Canada","加拿大"
country.CAF,"中非","Central African Republic","中非"
country.TCD,"乍得","Chad","乍得"
country.CHL,"智利","Chile","智利"
country.CHN,"中国","China","中国"
country.COL,"哥伦比亚","Colombia","哥伦比亚"
country.COM,"科摩罗","Comoros","科摩罗"
country.COG,"刚果（布拉萨）","Congo (Brazzaville)","刚果（布拉萨）"
country.COD,"刚果（金夏沙）","Congo (Kinshasa)","刚果（金夏沙）"
country.CRI,"哥斯达黎加","Costa Rica","哥斯达黎加"
country.CIV,"象牙海岸","Côte d'Ivoire","象牙海岸"
country.HRV,"克罗地亚","Croatia","克罗地亚"
country.CUB,"古巴","Cuba","古巴"
country.CYP,"塞浦路斯","Cyprus","塞浦路斯"
country.CZE,"捷克","Czech Republic","捷克"
country.DNK,"丹麦","Denmark","丹麦"
country.DJI,"吉布提","Djibouti","吉布提"
country.DMA,"多米尼克","Dominica","多米尼克"
country.DOM,"多明尼加","Dominican Republic","多明尼加"
country.ECU,"厄瓜多尔","Ecuador","厄瓜多尔"
country.EGY,"埃及","Egypt","埃及"
country.SLV,"萨尔瓦多","El Salvador","萨尔瓦多"
country.GNQ,"赤道几内亚","Equatorial Guinea","赤道几内亚"
country.ERI,"厄立特里亚","Eritrea","厄立特里亚"
country.EST,"爱沙尼亚","Estonia","爱沙尼亚"
country.SWZ,"史瓦济兰","Eswatini","史瓦济兰"
country.ETH,"埃塞俄比亚","Ethiopia","埃塞俄比亚"
country.FJI,"斐济","Fiji","斐济"
country.FIN,"芬兰","Finland","芬兰"
country.FRA,"法国","France","法国"
country.GAB,"加蓬","The Gabonese Republic","加蓬"
country.GMB,"冈比亚","Gambia","冈比亚"
country.GEO,"格鲁吉亚","Georgia","格鲁吉亚"
country.DEU,"德国","Germany","德国"
country.GHA,"加纳","Ghana","加纳"
country.GRC,"希腊","Greece","希腊"
country.GRD,"格林纳达","Grenada","格林纳达"
country.GTM,"危地马拉","Guatemala","危地马拉"
country.GIN,"几内亚","Guinea","几内亚"
country.GNB,"几内亚比绍","Guinea-Bissau","几内亚比绍"
country.GUY,"圭亚那","Guyana","圭亚那"
country.HTI,"海地","Haiti","海地"
country.HND,"洪都拉斯","Honduras","洪都拉斯"
country.HUN,"匈牙利","Hungary","匈牙利"
country.HKG,"香港","Hong Kong","香港"
country.ISL,"冰岛","Iceland","冰岛"
country.IND,"印度","India","印度"
country.IDN,"印度尼西亚","Indonesia","印度尼西亚"
country.IRN,"伊朗","Iran","伊朗"
country.IRQ,"伊拉克","Iraq","伊拉克"
country.IRL,"爱尔兰","Ireland","爱尔兰"
country.ISR,"以色列","Israel","以色列"
country.ITA,"义大利","Italy","义大利"
country.JAM,"牙买加","Jamaica","牙买加"
country.JPN,"日本","Japan","日本"
country.JOR,"约旦","Jordan","约旦"
country.KAZ,"哈萨克","Kazakhstan","哈萨克"
country.KEN,"肯尼亚","Kenya","肯尼亚"
country.KIR,"吉里巴斯","Kiribati","吉里巴斯"
country.PRK,"朝鲜","North Korea","朝鲜"
country.KOR,"南韩","South Korea","南韩"
country.KWT,"科威特","Kuwait","科威特"
country.KGZ,"吉尔吉斯","Kyrgyz Republic","吉尔吉斯"
country.LAO,"寮国","Laos","寮国"
country.LVA,"拉脱维亚","Latvia","拉脱维亚"
country.LBN,"黎巴嫩","Lebanon","黎巴嫩"
country.LSO,"莱索托","Lesotho","莱索托"
country.LBR,"利比里亚","Liberia","利比里亚"
country.LBY,"利比亚","Libya","利比亚"
country.LIE,"列支敦士登","Liechtenstein","列支敦士登"
country.LTU,"立陶宛","Lithuania","立陶宛"
country.LUX,"卢森堡","Luxembourg","卢森堡"
country.MKD,"马其顿","Macedonia","马其顿"
country.MDG,"马达加斯加","Madagascar(","马达加斯加"
country.MWI,"马拉维","Malawi","马拉维"
country.MYS,"马来西亚","Malaysia","马来西亚"
country.MDV,"马尔地夫","Maldives","马尔地夫"
country.MLI,"马里","Mali","马里"
country.MLT,"马尔他","Malta","马尔他"
country.MHL,"马绍尔群岛","Marshall Islands","马绍尔群岛"
country.MRT,"毛里塔尼亚","Mauritania","毛里塔尼亚"
country.MUS,"毛里求斯","Mauritius","毛里求斯"
country.MEX,"墨西哥","Mexico","墨西哥"
country.FSM,"密克罗尼西亚","The Federated States of Micronesia","密克罗尼西亚"
country.MCO,"摩纳哥","Monaco","摩纳哥"
country.MNG,"蒙古","Mongolia","蒙古"
country.MNE,"黑山","Montenegro","黑山"
country.MAR,"摩洛哥","Morocco","摩洛哥"
country.MOZ,"莫桑比克","Mozambique","莫桑比克"
country.MMR,"缅甸","Myanmar","缅甸"
country.NAM,"纳米比亚","Namibia","纳米比亚"
country.NRU,"瑙鲁","Nauru","瑙鲁"
country.NPL,"尼泊尔","Nepal","尼泊尔"
country.NLD,"荷兰","The Netherlands","荷兰"
country.NZL,"新西兰","New Zealand","新西兰"
country.NIC,"尼加拉瓜","Nicaragua","尼加拉瓜"
country.NER,"尼日","Niger","尼日"
country.NGA,"尼日利亚","Nigeria","尼日利亚"
country.NIU,"纽埃","Niue","纽埃"
country.NOR,"挪威","Norway","挪威"
country.OMN,"阿曼","Oman","阿曼"
country.PAK,"巴基斯坦","Pakistan","巴基斯坦"
country.PLW,"帛琉","Palau","帛琉"
country.PAN,"巴拿马","Panama","巴拿马"
country.PNG,"巴布亚新几内亚","Papua New Guinea","巴布亚新几内亚"
country.PRY,"巴拉圭","Paraguay","巴拉圭"
country.PER,"秘鲁","Peru","秘鲁"
country.PHL,"菲律宾","The Philippines","菲律宾"
country.POL,"波兰","Poland","波兰"
country.PRT,"葡萄牙","Portugal","葡萄牙"
country.QAT,"卡塔尔","Qatar","卡塔尔"
country.ROU,"罗马尼亚","Romania","罗马尼亚"
country.RUS,"俄罗斯","Russia","俄罗斯"
country.RWA,"卢旺达","Rwanda","卢旺达"
country.KNA,"圣基茨和尼维斯","Saint Kitts and Nevis","圣基茨和尼维斯"
country.LCA,"圣卢西亚","Saint Lucia","圣卢西亚"
country.VCT,"圣文森特和格林纳丁斯","Saint Vincent and the Grenadine","圣文森特和格林纳丁斯"
country.WSM,"萨摩亚","Independent State of Samoa","萨摩亚"
country.SMR,"圣马力诺","San Marino","圣马力诺"
country.STP,"圣多美和普林西比","São Tomé e Príncipe","圣多美和普林西比"
country.SAU,"沙特阿拉伯","Saudi Arabia","沙特阿拉伯"
country.SEN,"塞内加尔","Senegal","塞内加尔"
country.SRB,"塞尔维亚","Serbia","塞尔维亚"
country.SYC,"塞舌尔","Seychelles","塞舌尔"
country.SLE,"塞拉利昂","Sierra Leone","塞拉利昂"
country.SGP,"新加坡","Singapore","新加坡"
country.SVK,"斯洛伐克","Slovensko","斯洛伐克"
country.SVN,"斯洛维尼亚","Slovenia","斯洛维尼亚"
country.SLB,"所罗门群岛","Solomon Islands","所罗门群岛"
country.SOM,"索马里","Somalia","索马里"
country.ZAF,"南非","South Africa","南非"
country.SSD,"南苏丹","South Sudan","南苏丹"
country.ESP,"西班牙","Spain","西班牙"
country.LKA,"斯里兰卡","Sri Lanka","斯里兰卡"
country.SDN,"苏丹","Sudan","苏丹"
country.SUR,"苏里南","Suriname","苏里南"
country.SWE,"瑞典","Sweden","瑞典"
country.CHE,"瑞士","Switzerland","瑞士"
country.SYR,"叙利亚","Syria","叙利亚"
country.TJK,"塔吉克","Tajikistan","塔吉克"
country.TZA,"坦桑尼亚","Tanzania","坦桑尼亚"
country.THA,"泰国","Thailand","泰国"
country.TLS,"东帝汶","East Timor","东帝汶"
country.TGO,"多哥","Togo","多哥"
country.TON,"汤加","Tonga","汤加"
country.TTO,"特立尼达和多巴哥","Trinidad and Tobago","特立尼达和多巴哥"
country.TUN,"突尼斯","Tunisia","突尼斯"
country.TUR,"土耳其","Turkiye","土耳其"
country.TKM,"土库曼","Turkmenistan","土库曼"
country.TUV,"图瓦卢","Tuvalu","图瓦卢"
country.UGA,"乌干达","Uganda","乌干达"
country.UKR,"乌克兰","Ukraine","乌克兰"
country.ARE,"阿联酋","United Arab Emirates","阿联酋"
country.GBR,"英国","The United Kingdom","英国"
country.USA,"美国","The USA","美国"
country.URY,"乌拉圭","Uruguay","乌拉圭"
country.UZB,"乌兹别克","Uzbekistan","乌兹别克"
country.VUT,"瓦努阿图","Vanuatu","瓦努阿图"
country.VAT,"梵蒂冈","Vatican","梵蒂冈"
country.VEN,"委内瑞拉","Venezuela","委内瑞拉"
country.VNM,"越南","Vietnam","越南"
country.YEM,"也门","Yemen","也门"
country.ZMB,"赞比亚","Zambia","赞比亚"
country.ZWE,"辛巴威","Zimbabwe","辛巴威"
country.FRO,"法羅群島","Faroe Islands","法羅群島"
country.GIB,"直布羅陀","Gibraltar","直布羅陀"
country.SJM,"斯瓦爾巴和揚馬延","Svalbard and Jan Mayen Islands","斯瓦爾巴和揚馬延"
country.ROM,"羅馬尼亞","Romania","羅馬尼亞"
country.MDA,"摩爾多瓦","Moldova","摩爾多瓦"
country.CXR,"聖誕島","Christmas Island","聖誕島"
country.CCK,"科克斯群島","Cocos (Keeling) Islands","科克斯群島"
country.TWN,"台灣","Taiwan","台灣"
country.AIA,"安圭拉","Anguilla","安圭拉"
country.ABW,"阿魯巴","Aruba","阿魯巴"
country.BMU,"百慕達","Bermuda","百慕達"
country.VGB,"英屬維爾京群島","The British Virgin Islands","英屬維爾京群島"
country.CYM,"開曼群島","The Cayman Islands","開曼群島"
country.FLK,"福克蘭群島","Falkland Islands","福克蘭群島"
country.GUF,"法屬圭亞那","Guyane française","法屬圭亞那"
country.GRL,"格陵蘭","Greenland","格陵蘭"
country.GLP,"瓜德羅普","Ary Chalus","瓜德羅普"
country.MTQ,"馬提尼克","Martinique","馬提尼克"
country.MSR,"蒙特塞拉特","Montserrat","蒙特塞拉特"
country.ANT,"荷屬安地列斯","Netherlands Antilles","荷屬安地列斯"
country.SPM,"聖皮埃爾和密克隆","Saint Pierre et Miquelon","聖皮埃爾和密克隆"
country.PRI,"波多黎各","Puerto Rico","波多黎各"
country.TCA,"特克斯和凱科斯群島","Turks and Caicos Islands","特克斯和凱科斯群島"
country.VIR,"美屬維爾京群島","United States Virgin Islands","美屬維爾京群島"
country.WTF,"沃里斯和富圖納","Wallis and Futuna Islands","沃里斯和富圖納"
country.REU,"留尼汪","Reunion Island","留尼汪"
country.ESH,"西撒哈拉","Western Sahara","西撒哈拉"
country.ZAR,"南非","South Africa","南非"
country.ZWB,"辛巴威","Zimbabwe","辛巴威"
fieldname.platformID,"现合网名称","Opt Site","现合网名称"
fieldname.state,"在线状态","Online Status","在线状态"
fieldname.accountVipID,"VIP等级","VIP Level","VIP等级"
fieldname.accountGroupID,"账号层级","VIP Level","账号层级"
fieldname.accountType,"账号类型","Account Type","账号类型"
fieldname.createdAt,"注册时间","Registration Time","注册时间"
fieldname.createdAtFrom,"注册时间由","Registration Start Time","注册时间由"
fieldname.createdAtTo,"注册时间至","Registration End Time","注册时间至"
fieldname.lastLoginTime,"最后登录时间","Last Registration Time","最后登录时间"
fieldname.lastLoginTimeFrom,"最后登录时间由","Last Registration Start Time","最后登录时间由"
fieldname.lastLoginTimeTo,"最后登录时间至","Last Registration End Time","最后登录时间至"
fieldname.topAgentID,"一级代理","Primary Level Agent","一级代理"
fieldname.agentID,"上级代理","Superior Agent","上级代理"
fieldname.topAgentName,"一级代理","Primary Level Agent","一级代理"
fieldname.agentName,"上级代理","Superior Agent","上级代理"
fieldname.account,"账号编号","Account ID","账号编号"
fieldname.dateRange,"日期","Date","日期"
fieldname.gameCategories,"游戏大类","Game Category","游戏大类"
fieldname.gameVendors,"前台显示名称","Platform Display Name","前台显示名称"
fieldname.accountWinLossAmount,"会员总盈亏","Member's Total Profit/Loss","会员总盈亏"
fieldname.betAmount,"会员总投注流水","Member's Total Actual Bet Amount","会员总投注流水"
fieldname.betCount,"会员投注笔数","No. of Bets Placed By Member","会员投注笔数"
fieldname.bettorCount,"会员投注人数","No. of Members has bet","会员投注人数"
fieldname.companyWinLossAmount,"公司总盈亏","Total Company Profit/Loss","公司总盈亏"
fieldname.rebateAmount,"会员总返水金额","Member's Total Rebate Amount","会员总返水金额"
fieldname.validBetAmount,"会员总有效流水","Member's Total Valid Actual Bet Amount","会员总有效流水"
fieldname.inviterCode,"邀请码/推广码","Invitation Code","邀请码/推广码"
fieldname.operation,"操作","Actions","操作"
fieldname.betDetail,"投注详情","Bet Details","投注详情"
fieldname.platform,"現合網名稱","Opt Site","現合網名稱"
fieldname.onlineDeposit,"在线充值","Online Deposit","在线充值"
fieldname.manualDeposit,"人工充值","Manual Deposit","人工充值"
fieldname.firstDeposit,"首次充值","First Time Deposit","首次充值"
fieldname.onlineWithdraw,"账号提现","Account Withdrawal","账号提现"
fieldname.manualWithdraw,"人工提现","Manual Withdrawal","人工提现"
fieldname.firstWithdraw,"首次提现","First Time Withdrawal","首次提现"
fieldname.withdrawFee,"提现手续费","Withdrawal Fee","提现手续费"
fieldname.totalDeposit,"充值总额","Total Deposit Amount","充值总额"
fieldname.totalWithdraw,"提现总额","Total Withdrawal Amount","提现总额"
fieldname.totalDiff,"充提差额","Deposit-Withdrawal Difference","充提差额"
fieldname.depositwithdrawsummary,"充提汇总","Deposit Summary","充提汇总"
fieldname.deposit,"充值","Deposits","充值"
fieldname.withdraw,"提現","Withdrawals","提現"
fieldname.permission,"權限","Permissions","權限"
fieldname.topAgent,"一级代理","Primary Level Agent","一级代理"
fieldname.parentAgent,"上级代理","Superior Agent","上级代理"
fieldname.betSlipNumber,"注单编号","Order No.","注单编号"
fieldname.betCode,"投注单号","Order Number","投注单号"
fieldname.gameCategory,"游戏大类","Game Category","游戏大类"
fieldname.gameVendorName,"前台显示名称","Platform Display Name","前台显示名称"
fieldname.gameName,"游戏名称","Game Name","游戏名称"
fieldname.betInfo,"投注项","Bets","投注项"
fieldname.odds,"赔率","Odds","赔率"
fieldname.betAmount1,"投注金额","Bet Amount","投注金额"
fieldname.validBetAmount1,"有效投注金额","Actual Bet Amount","有效投注金额"
fieldname.winloss,"会员盈亏","Member's Profit/Loss","会员盈亏"
fieldname.payout,"派彩金额","Payout Amount","派彩金额"
fieldname.betResult,"投注结果","Bet Result","投注结果"
fieldname.betStatus,"订单状态","Order Status","订单状态"
fieldname.betTime,"投注時間","Bet Time","投注時間"
fieldname.betTimeFrom,"投注時間由","Bet Start Time","投注時間由"
fieldname.betTimeTo,"投注時間至","Bet End Time","投注時間至"
fieldname.payoutTime,"結算時間","Settlement Time","結算時間"
fieldname.payoutTimeFrom,"結算時間由","Settlement Start Time","結算時間由"
fieldname.payoutTimeTo,"結算時間至","Settlement End Time","結算時間至"
fieldname.month,"统计月份","Month","统计月份"
fieldname.level,"代理层级","Agent Level","代理层级"
fieldname.commissionPlanID,"佣金方案ID","Commission Program ID","佣金方案ID"
fieldname.commissionPlanName,"佣金方案类型","Commission Program Type","佣金方案类型"
fieldname.validMemberPlanID,"有效会员方案ID","Effective Member Program ID","有效会员方案ID"
fieldname.validMemberPlanName,"有效会员方案类型","Effective Member Program Type","有效会员方案类型"
fieldname.memberWinLossAmount,"会员总盈亏","Member's Total Profit/Loss","会员总盈亏"
fieldname.registerMemberCount,"注册人数","No. of Registered Members","注册人数"
fieldname.firstDepositCount,"首存人数","No. of User Has First Deposit","首存人数"
fieldname.secondDepositCount,"二存人数","No. of User Has Second Deposit","二存人数"
fieldname.totalDepositAmount,"会员总充值金额","Member's Total Deposit Amount","会员总充值金额"
fieldname.commissionPlanAchieved,"是否达成佣金方案","Achievement of Commission Program","是否达成佣金方案"
fieldname.validMemberPlanAchieved,"是否达成有效会员方案","Achievement of Effective Member Program","是否达成有效会员方案"
fieldname.betRebateRatio,"流水返利比例","Actual Bet Rebate Ratio","流水返利比例"
fieldname.betRebateAmount,"流水返利金额","Actual Bet Rebate Amount","流水返利金额"
fieldname.negativeProfitRebateRatio,"负盈利返利比例","Negative Profit/Rebate Ratio","负盈利返利比例"
fieldname.negativeProfitRebateAmount,"负盈利返利金额","Negative Profit/Rebate Amount","负盈利返利金额"
fieldname.subAgentCommissionAmount,"下级代理抽佣金额","Commission Amount For Lower Level Agents","下级代理抽佣金额"
fieldname.monthlyDividendAmount,"月结分红金额","Monthly Dividend Amount","月结分红金额"
fieldname.status,"状态","Status","状态"
fieldname.timeFrameID,"日期","Date","日期"
fieldname.carouselId,"轮播图编号","Carousel No.","轮播图编号"
fieldname.title,"标题","Title","标题"
fieldname.displayPage,"显示页面","Display Page","显示页面"
fieldname.eventTitle,"活动标题","Event Title","活动标题"
fieldname.eventOrder,"活动排序","Event Sort By","活动排序"
fieldname.eventTime,"展示時間","Show Time","展示時間"
fieldname.eventAt,"展示日期","Show Date","展示日期"
fieldname.redirect,"跳转链接","Redirect URL","跳转链接"
fieldname.webHomeCarousel,"Web端首页轮播图开关","Web Home Page Carousel On/Off","Web端首页轮播图开关"
fieldname.webHomeCarouselImage,"Web端首页轮播图","Web Home Page Carousel","Web端首页轮播图"
fieldname.mobileHomeCarousel,"移动端首页轮播图开关","Mobile Home Page Carousel On/Off","移动端首页轮播图开关"
fieldname.mobileHomeCarouselImage,"移动端首页轮播图","Mobile Home Page Carousel","移动端首页轮播图"
fieldname.webLobbyCarousel,"Web端活动大厅轮播图开关","Web Lobby Carousel","Web端活动大厅轮播图开关"
fieldname.webLobbyCarouselImage,"Web端活动大厅轮播图","Web Lobby Carousel On/Off","Web端活动大厅轮播图"
fieldname.mobileLobbyCarousel,"移动端活动大厅轮播图开关","Mobile Lobby Carousel","移动端活动大厅轮播图开关"
fieldname.mobileLobbyCarouselImage,"移动端活动大厅轮播图","Mobile Lobby Carousel On/Off","移动端活动大厅轮播图"
fieldname.webVipCarousel,"Web端VIP页轮播图开关","Web VIP Page Carousel On/Off","Web端VIP页轮播图开关"
fieldname.mobileVipCarousel,"移动端VIP页轮播图开关","Mobile VIP Page Carousel On/Off","移动端VIP页轮播图开关"
fieldname.webHomePopup,"Web端首页弹窗图开关","Web Home Page Popup On/Off","Web端首页弹窗图开关"
fieldname.mobileHomePopup,"移动端首页弹窗图开关","Mobile Home Page Popup On/Off","移动端首页弹窗图开关"
fieldname.webLobbyPopup,"Web端活动大厅弹窗图开关","Web Lobby Popup On/Off","Web端活动大厅弹窗图开关"
fieldname.mobileLobbyPopup,"移动端活动大厅弹窗图开关","Mobile Lobby Popup On/Off","移动端活动大厅弹窗图开关"
fieldname.webVipPopup,"Web端VIP页弹窗图开关","Web VIP Page Popup On/Off","Web端VIP页弹窗图开关"
fieldname.mobileVipPopup,"移动端VIP页弹窗图开关","Mobile VIP Page Popup On/Off","移动端VIP页弹窗图开关"
fieldname.webPopupImage,"Web端弹窗图","Web Popup","Web端弹窗图"
fieldname.mobilePopupImage,"移动端弹窗图","Mobile Popup","移动端弹窗图"
fieldname.imageStatus,"轮播图与弹窗图状态：","Carousel and Popup Status","轮播图与弹窗图状态："
fieldname.defaultStop,"默认停用","Disable By Default","默认停用"
fieldname.accountGroupIDLimit,"限制账号层级查看","Restricted Account Level View","限制账号层级查看"
fieldname.accountVipIDLimit,"限制VIP等级查看","Restrict VIP Level View","限制VIP等级查看"
fieldname.operation_adv_status,"轮播图与弹窗图状态","Carousel and Popup Status","轮播图与弹窗图状态"
fieldname.order,"排序","Sort By","排序"
fieldname.start,"展示起始时间","Show Start Time","展示起始时间"
fieldname.end,"展示结束时间","Show End Time","展示结束时间"
fieldname.remark,"操作备注","Remarks","操作备注"
fieldname.updatedBy,"操作人","Modified By","操作人"
fieldname.updatedAt,"操作时间","Modified Time","操作时间"
fieldname.id,"编号","No.","编号"
fieldname.link,"跳转链接","Redirect URL","跳转链接"
fieldname.betCat,"投注类","Betting","投注类"
fieldname.depositCat,"充值类","Deposits","充值类"
fieldname.withdrawCat,"提款类","Withdrawals","提款类"
fieldname.bounsCat,"彩金类","Winnings","彩金类"
fieldname.sumBetCount,"会员投注人数","No. of Members has bet","会员投注人数"
fieldname.sumBetAmount,"会员总投注流水","Member's Total Actual Bet Amount","会员总投注流水"
fieldname.sumValidBetAmount,"会员总有效流水","Member's Total Valid Actual Bet Amount","会员总有效流水"
fieldname.sumRebateAmount,"会员总返水金额","Member's Total Rebate Amount","会员总返水金额"
fieldname.sumPayout,"会员总派彩金额","Member's Total Giveaway Bonus","会员总派彩金额"
fieldname.sumWinloss,"会员总盈亏","Member's Total Profit/Loss","会员总盈亏"
fieldname.depositCount,"会员充值人数","No. of Members Deposited","会员充值人数"
fieldname.sDepositCount,"充值人数","No. of Deposited Account","充值人数"
fieldname.queryDepositCount,"平台充值订单提交人数","No. of Platform Deposit Order Submission Account","平台充值订单提交人数"
fieldname.sumTotalDeposit,"会员总充值","Total Member Deposit Amount","会员总充值"
fieldname.sumOnlineDeposit,"会员在线支付","Member Online Payment Amount","会员在线支付"
fieldname.sumManualDeposit,"会员人工充值","Member Manual Deposit Amount","会员人工充值"
fieldname.sumFirstDeposit,"会员首次充值","Member First Deposit Amount","会员首次充值"
fieldname.secondDeposit,"会员二次充值","Member Second Deposit Amount","会员二次充值"
fieldname.cryptoDeposit,"会员虚拟币充值","Member Virtual Currency Deposit Amount","会员虚拟币充值"
fieldname.withdrawCount,"会员提款人数","No. of Members Withdrew","会员提款人数"
fieldname.sumTotalWithdraw,"会员总提款","Total Member Withdrawal Amount","会员总提款"
fieldname.sumOnlineWithdraw,"会员提现","Member Withdrawal Amount","会员提现"
fieldname.sumManualWithdraw,"会员人工提现","Member Manual Withdrawal Amount","会员人工提现"
fieldname.sumFirstWithdraw,"会员首次提现","Member First Withdrawal Amount","会员首次提现"
fieldname.cryptoWithdraw,"会员虚拟币提现","Member Virtual Currency Withdrawal Amount","会员虚拟币提现"
fieldname.sumWithdrawFee,"会员手续费","Member Handling Fee","会员手续费"
fieldname.bonusCount,"领取会员人数","No. of Members Collected Payouts","领取会员人数"
fieldname.totalBonus,"会员总彩金","Member's Total Giveaway Bonus","会员总彩金"
fieldname.vIPBonus,"会员VIP彩金","VIP Giveaway Bonus","会员VIP彩金"
fieldname.eventBonus,"会员活动彩金","Member Event Giveaway Bonus","会员活动彩金"
fieldname.giveawayBonus,"会员赠送彩金","Member Giveaway Bonus","会员赠送彩金"
fieldname.winlossAmount,"公司净输赢","Company Net Win/Lost","公司净输赢"
fieldname.gameWinloseAmount,"公司游戏输赢","Company Game Win/Lost","公司游戏输赢"
fieldname.ovRebateAmount,"会员返水","Member's Rebate","会员返水"
fieldname.bonusAmount,"会员全部彩金","Member's Total Winnings","会员全部彩金"
fieldname.depositWithdraw,"会员(总充值-总提款)","Members' (Total Deposit - Total Withdrawal)","会员(总充值-总提款)"
fieldname.ovFirstDepositCount,"会员首存人数","No. of Member Has First Deposit","会员首存人数"
fieldname.registerCount,"会员注册人数","No. of Registered Members","会员注册人数"
fieldname.loginCount,"会员登录人数","No. of Login Member","会员登录人数"
fieldname.validMemberCount,"有效会员人数","No. of Active Members","有效会员人数"
fieldname.levelLimit,"层级限制","Level Limit","层级限制"
fieldname.commissionRate,"代理分红","Agent Bonus","代理分红"
fieldname.downlineCommissionLayer1Rate,"下一层抽佣","Next Level of Commission","下一层抽佣"
fieldname.downlineCommissionLayer2Rate,"下二层抽佣","Lower Level 2 of Commission","下二层抽佣"
fieldname.downlineCommissionLayer3Rate,"下三层抽佣","Lower Level 3 of Commission","下三层抽佣"
fieldname.referCodeLength,"推广码字符","Promotion Code Characters","推广码字符"
fieldname.loginID,"登录编号","Registration Number","登录编号"
fieldname.accountID,"登录账号","Login Account","登录账号"
fieldname.deviceID,"设备号","Device No.","设备号"
fieldname.deviceType,"设备端口","Device Port","设备端口"
fieldname.loginIp,"登录IP","Login IP","登录IP"
fieldname.geoLocation,"IP归属地","IP Location","IP归属地"
fieldname.domain,"来源域名","Source Domain","来源域名"
fieldname.promoCode,"推广码","Promotion Code","推广码"
fieldname.loginTime,"登录时间","Login Time","登录时间"
fieldname.registerID,"注册编号","Registration No.","注册编号"
fieldname.registerIp,"注册IP","Registration IP","注册IP"
fieldname.registerTime,"注册时间","Registration Time","注册时间"
fieldname.activityID,"操作编号","Operation No.","操作编号"
fieldname.activityIp,"操作IP","Operation IP","操作IP"
fieldname.activityTime,"操作时间","Modified Time","操作时间"
fieldname.originType,"日志用户","Log User","日志用户"
fieldname.requestTime,"请求时间","Request Time","请求时间"
fieldname.responseTime,"返回時間","Return Time","返回時間"
fieldname.logTitle,"日志标题","Log Title","日志标题"
fieldname.logMsg,"日志信息","Log Message","日志信息"
fieldname.adminID,"管理员账号","Log Message","管理员账号"
fieldname.groupName,"组别名称","Group Name","组别名称"
fieldname.apiTime,"API往返时间","API Transfer Time","API往返时间"
fieldname.moduleTitle,"模块标题","Module Title","模块标题"
fieldname.attachment,"上传凭证","Upload Proof","上传凭证"
fieldname.content,"内容","Content","内容"
fieldname.detail,"详情","Details","详情"
fieldname.name,"管理员账号","Admin Account","管理员账号"
fieldname.platformName,"现合网名称","Opt Site","现合网名称"
fieldname.announcementID,"公告编号","Announcement No.","公告编号"
fieldname.announcementTag,"公告标签","Announcement Tag","公告标签"
fieldname.announcementTitle,"公告标题","Announcement Title","公告标题"
fieldname.announcementcontent,"公告内容","Announcement Content","公告内容"
fieldname.announcementStatus,"公告状态","Announcement Status","公告状态"
fieldname.targetClient,"显示端口","Display Port","显示端口"
fieldname.announcementStartTime,"公告起始时间","Announcement Start Time","公告起始时间"
fieldname.announcementEndTime,"公告结束时间","Announcement End Time","公告结束时间"
fieldname.announcementTime,"公告时间","Announcement Time","公告时间"
fieldname.announcementTagOrder,"公告标签排序","Announcement Tag Sort By","公告标签排序"
fieldname.announcementTagstatus,"公告标签状态","Announcement Tag Status","公告标签状态"
fieldname.transferAccounts,"移转的账号","Migrated Account","移转的账号"
fieldname.transferTo,"移转到哪里","Migrate To","移转到哪里"
fieldname.delete,"删除","Delete","删除"
fieldname.batchEnable,"批量启用","Batch Enable","批量启用"
fieldname.batchDisable,"批量停用","Batch Disable","批量停用"
fieldname.batchDelete,"批量删除","Batch Delete","批量删除"
fieldname.username,"管理员账号","Admin Account","管理员账号"
fieldname.firstLevelID,"一级账号","Primary Level Account","一级账号"
fieldname.parentID,"上级账号","Superior Account","上级账号"
fieldname.export,"导出","Export","导出"
fieldname.gamereport_category,"游戏大类报表","Game Category Report","游戏大类报表"
fieldname.gamereport_gamevendor,"游戏平台报表","Game Platform Report","游戏平台报表"
fieldname.gamereport_bethistory,"投注记录","Bet Record","投注记录"
fieldname.downlineCommissionLayer4Rate,"下四层抽佣","Lower Level 4 of Commission","下四层抽佣"
fieldname.downlineCommissionLayer5Rate,"下五层抽佣","Lower Level 5 of Commission","下五层抽佣"
fieldname.gamereportCategory,"游戏大类报表","Game Category Report","游戏大类报表"
fieldname.gamereportGamevendor,"游戏平台报表","Game Platform Report","游戏平台报表"
fieldname.gamereportBethistory,"投注记录","Bet Record","投注记录"
fieldname.platformsummary,"数据统计","Statistics","数据统计"
fieldname.gamereport,"游戏报表","Game Report","游戏报表"
fieldname.accreportWithdrawdeposit,"帐号充提报表","Account Deposit Report","帐号充提报表"
fieldname.accreportTransaction,"帐号帐变报表","Account Transaction Changes Report","帐号帐变报表"
fieldname.agentreport,"代理統計報表","Agent Statistics Report","代理統計報表"
fieldname.divSetting,"月結分紅配置","Monthly Bonus Setting","月結分紅配置"
